Reference,Quantity,Value,Description,Manufacturer,Manufacturer part number,Distributor part number,Status,Digi-Key PN,Packaging,Stock
"R1-R2, R4, R10, R57, R83, R280, R286, R290, R294, R314",11,0R,RES 0 OHM JUMPER 1/16W 0402,YAGEO,RC0402JR-070RL,311-0.0JRCT-ND,OK,311-0.0JRCT-ND,Cut Tape (CT),78761
"D1, D4-D6, D10, D12-D13",7,ESD7016MUTAG,TVS DIODE 5VWM 10VC 8-UDFN,onsemi,ESD7016MUTAG,ESD7016MUTAGOSCT-ND,OK,ESD7016MUTAGOSCT-ND,Cut Tape (CT),61299
"C1, C4, C6, C8, C10-C11, C13, C15-C16, C54, C56, C59-C60, C63-C64, C69-C71, C77-C79, C81, C84-C86, C88, C90, C99, C108-C112, C118-C119, C122-C123, C125, C129-C131, C133, C135, C139-C141, C143, C145, C149-C151, C153, C160, C164, C172, C176, C182, C187, C191, C195-C196, C200, C222-C227, C231-C234, C236-C242, C247-C249, C258-C259, C261, C263, C269-C270, C274-C276, C280, C283-C284, C287-C292, C294",101,0.1u,CAP CER 0.1UF 50V X7R 0402,Murata Electronics,GRM155R71H104KE14D,490-10700-1-ND,OK,490-10700-1-ND,Cut Tape (CT),12426916
"D2-D3, D8-D9, D11, D15, D17, D19, D21, D39-D40, D46, D48, D50",14,D1213A-02SOL-7,TVS DIODE 3.3VWM 10VC SOT23,Diodes Incorporated,D1213A-02SOL-7,D1213A-02SOL-7DICT-ND,OK,D1213A-02SOL-7DICT-ND,Cut Tape (CT),173462
R94,1,NP,RES SMD 10K OHM 1% 1/16W 0402,Samsung Electro-Mechanics,RC1005F103CS,1276-3431-1-ND,OK,1276-3431-1-ND,Cut Tape (CT),45921964
"R5-R7, R9, R140, R142, R297",7,470R,RES 470 OHM 1% 1/16W 0402,YAGEO,RC0402FR-07470RL,311-470LRCT-ND,OK,311-470LRCT-ND,Cut Tape (CT),4513065
"C2, C5, C9, C14, C57, C62, C68, C76, C80, C82, C92-C96, C100, C107, C117, C120-C121, C124, C126, C132, C134, C136, C142, C144, C146, C152, C154, C159, C169, C175, C185, C205-C206, C260, C273, C277, C281-C282, C285-C286",43,1u,CAP CER 1UF 50V X7R 0805,YAGEO,CC0805KKX7R9BB105,311-1886-1-ND,OK,311-1886-1-ND,Cut Tape (CT),697872
"R8, R85, R266, R296",4,NP,RES 0 OHM JUMPER 1/16W 0402,YAGEO,RC0402JR-070RL,311-0.0JRCT-ND,OK,311-0.0JRCT-ND,Cut Tape (CT),78761
"R3, R53, R58, R60, R93, R96-R97, R104, R106, R108-R109, R111, R113, R118, R132-R139, R145, R148-R151, R162, R165, R181-R184, R192-R193, R196-R197, R224-R225, R230, R232, R235-R236, R238, R244-R246, R249, R260, R262, R264, R268-R273, R275-R279, R281-R282, R284-R285, R287-R289, R291",70,10K,RES SMD 10K OHM 1% 1/16W 0402,Samsung Electro-Mechanics,RC1005F103CS,1276-3431-1-ND,OK,1276-3431-1-ND,Cut Tape (CT),45921964
"C255-C257, C266-C268",6,47u,CAP CER 47UF 16V X5R 1206,TDK Corporation,C3216X5R1C476M160AB,445-6003-1-ND,OK,445-6003-1-ND,Cut Tape (CT),96964
X3,1,ABM11-24.000MHZ-D2X-T3,CRYSTAL 24.0000MHZ 10PF SMD,Abracon LLC,ABM11-24.000MHZ-D2X-T3,535-10940-1-ND,OK,535-10940-1-ND,Cut Tape (CT),57494
U46,1,AP2192A,IC PWR SWITCH P-CHAN 1:2 8UDFN,Diodes Incorporated,AP2192AFGEG-7,AP2192AFGEG-7DICT-ND,OK,AP2192AFGEG-7DICT-ND,Cut Tape (CT),47963
